"","subid","condition","gender","age","beliefGod","education","politicalIdeology","maritalStatus","children","beliefAfterlife","gerald_schiff_pvs","toby_chimp","fetus","god","delores_gleitman_deceased","sharon_harvey_woman","green_frog","todd_billingsley_man","charlie_dog","nicholas_gannon_baby","samantha_hill_girl","kismet_robot","you"
"1","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",0,2,-2,0,0,0,0,2,-2,2,2,0,2
"2","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",0,-2,0,0,0,2,0,2,-2,2,2,0,0
"3","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",-2,2,-2,-2,-2,2,-2,0,0,-2,2,0,2
"4","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",-2,2,-2,0,0,0,0,2,-2,2,2,-2,-2
"5","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",-2,2,0,-2,-2,-1,-2,2,0,2,0,0,2
"6","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",-2,2,-2,-2,-2,-1,-2,-1,0,0,2,-2,2
"7","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",0,2,0,0,-2,2,-2,2,0,2,2,0,-2
"8","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",0,2,0,-2,0,2,0,-2,0,2,1,-2,2
"9","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",-2,1,0,0,0,2,-2,2,-2,2,2,-2,-2
"10","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",0,1,-2,-2,0,2,-2,2,0,2,2,-2,2
"11","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",-2,2,-2,0,-2,2,0,0,-2,2,2,0,2
"12","S1","Rage","female",37,"agree_strong","college_assocDegree","independent","no",0,"agree_strong",0,2,0,-2,-2,0,0,0,-2,0,0,-2,0
"13","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",-2,1,-2,-2,0,2,-1,2,2,-1,1,-2,2
"14","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",-2,-1,-2,-2,-2,2,-1,2,2,-2,2,-2,2
"15","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",-2,1,0,-1,-2,2,-2,2,-1,2,-2,-2,2
"16","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",1,1,-2,-2,-2,2,-2,2,2,2,1,-1,2
"17","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",-2,2,-2,-1,-2,2,-2,2,-2,-2,2,0,2
"18","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",1,2,-2,-1,-1,2,1,0,0,0,2,1,0
"19","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",-1,-2,1,-1,-2,0,1,2,-2,1,2,-1,2
"20","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",1,-2,0,0,-1,2,-1,2,2,1,1,-1,0
"21","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",0,-2,0,-2,0,0,1,2,-2,-2,2,-2,2
"22","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",-1,1,-2,-2,-2,2,-2,0,1,-2,-2,-1,2
"23","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",-2,2,-1,-1,-1,2,1,2,1,1,2,-1,2
"24","S2","Consciousness","male",28,"disagree_strong","college_some","independent","no",0,"disagree_strong",-1,1,-1,-2,-1,2,1,2,-2,1,-2,1,2
"25","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-2,0,-2,-2,-2,0,0,2,0,2,2,-2,2
"26","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-2,2,2,-2,-2,2,0,0,0,2,0,-2,0
"27","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-2,0,2,-2,-2,0,0,0,0,0,2,-2,2
"28","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-2,0,2,-2,-2,0,0,2,2,0,0,-2,0
"29","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",0,2,0,-2,-2,2,2,0,2,0,2,-2,0
"30","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-2,2,-2,-2,-2,0,0,0,0,0,0,-2,2
"31","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",2,0,-2,0,-2,0,2,0,0,2,0,-2,2
"32","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",0,1,-2,0,-2,2,0,0,2,2,2,-2,0
"33","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",2,0,-2,-2,0,2,0,0,0,0,0,0,0
"34","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-2,2,-2,-2,-2,2,2,2,2,2,2,-2,0
"35","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-2,2,-2,-2,0,0,2,2,2,-1,0,0,0
"36","S3","Hunger","female",27,"disagree_strong","college_bachDegree","democrat","no",0,"disagree_strong",-2,0,-2,-2,-2,0,2,2,0,0,0,0,2
"37","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",1,2,-2,-1,-2,2,1,2,1,-2,2,-1,-2
"38","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",1,1,-2,-2,-1,2,1,2,-1,1,2,1,-2
"39","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",1,2,0,0,-2,2,-1,2,-2,2,2,-1,0
"40","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",-2,-2,-2,-1,-1,2,-2,2,2,2,2,-2,-2
"41","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",-2,2,2,1,-1,2,1,2,2,2,2,-2,-2
"42","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",-2,2,2,2,-2,2,-2,2,1,-2,-2,-1,-1
"43","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",1,2,1,2,-1,2,-2,2,1,-2,2,-2,0
"44","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",0,2,-2,0,0,2,-2,0,1,2,2,-2,-2
"45","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",-1,0,0,1,0,2,-2,2,-2,2,-2,-2,-2
"46","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",-2,-2,-2,2,-2,2,-1,-1,1,-1,0,-2,-1
"47","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",-2,2,1,1,-1,0,1,2,-1,2,-2,-2,1
"48","S4","EmotionRecognition","male",25,"agree_little","hs_diploma","democrat","no",0,"agree_little",-1,-2,-2,1,-2,-1,-2,2,-2,0,2,-1,-1
"49","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",-1,-2,-1,0,-2,2,-1,0,1,2,0,-2,1
"50","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",0,2,1,2,-1,2,-2,-1,1,1,0,-1,0
"51","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",-2,1,-2,1,-1,2,-1,0,0,0,2,-2,0
"52","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",-1,0,0,2,-2,0,1,0,1,2,1,0,0
"53","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",-1,0,-1,2,-2,0,-1,0,0,0,0,-2,2
"54","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",-1,1,1,1,-1,-1,-1,2,0,2,1,-1,0
"55","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",-2,0,0,1,-2,0,-1,0,1,0,0,-1,1
"56","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",-1,-2,1,2,-2,0,-1,1,-1,-1,1,-1,1
"57","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",1,0,-1,2,-1,1,1,1,0,1,0,-1,-2
"58","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",1,0,1,1,0,1,-1,0,0,0,-1,-2,2
"59","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",-1,0,-1,1,-1,1,0,1,0,0,1,-2,0
"60","S5","Pain","male",26,"agree_strong","college_bachDegree","independent","yes",0,"agree_strong",-1,2,-1,1,-1,-1,1,0,0,0,0,-1,1
