"","condition","age","gender","ethnicity","education","religionChild","religionNow","job","maritalStatus","children","country","englishNative","politicalIdeology","studyMoralPhil","vegetarian","beliefGod","beliefAfterlife","beliefTradition","beliefRules","beliefLeader","comments","trialNum","leftCharacter","rightCharacter","response","rt","responseNum"
"1","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",1,"fetus","todd_billingsley_man","much more right",3356,2
"2","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",2,"gerald_schiff_pvs","kismet_robot","both equally",5895,0
"3","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",3,"kismet_robot","delores_gleitman_deceased","both equally",4064,0
"4","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",4,"toby_chimp","charlie_dog","much more left",3649,-2
"5","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",5,"charlie_dog","you","much more right",2465,2
"6","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",6,"samantha_hill_girl","toby_chimp","much more left",3436,-2
"7","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",7,"god","gerald_schiff_pvs","both equally",2451,0
"8","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",8,"sharon_harvey_woman","you","both equally",3381,0
"9","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",9,"green_frog","fetus","both equally",2798,0
"10","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",10,"nicholas_gannon_baby","gerald_schiff_pvs","much more left",4900,-2
"11","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",11,"fetus","sharon_harvey_woman","much more right",1891,2
"12","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",12,"nicholas_gannon_baby","fetus","much more left",1552,-2
"13","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",13,"gerald_schiff_pvs","toby_chimp","much more right",3115,2
"14","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",14,"todd_billingsley_man","gerald_schiff_pvs","much more left",1771,-2
"15","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",15,"fetus","kismet_robot","both equally",2389,0
"16","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",16,"toby_chimp","kismet_robot","much more left",1374,-2
"17","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",17,"god","delores_gleitman_deceased","both equally",3504,0
"18","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",18,"delores_gleitman_deceased","you","much more right",2373,2
"19","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",19,"charlie_dog","kismet_robot","both equally",2566,0
"20","Rage",37,"female","white","college_assocDegree","none","christianity_other","EMT","no","0","USA","yes_only","independent","no","yes","agree_strong","agree_strong","neither","disagree_strong","agree_moderate","Thank you for the opportunity to participate in your survey.  I took it seriously, and answered honestly. 

Hope that your study goes well. 

Have a great day!
",20,"god","samantha_hill_girl","much more right",3547,2
