"","subid","condition","gender","age","beliefGod","education","politicalIdeology","maritalStatus","children","beliefAfterlife","gerald_schiff_pvs","toby_chimp","fetus","god","delores_gleitman_deceased","sharon_harvey_woman","green_frog","todd_billingsley_man","charlie_dog","nicholas_gannon_baby","samantha_hill_girl","kismet_robot","you"
"1","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",-2,2,-2,2,-2,2,-2,2,0,-2,0,-2,0
"2","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",1,2,-1,2,-2,1,-2,2,2,-2,2,-1,2
"3","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",-2,2,1,2,-2,2,1,2,2,2,2,-2,2
"4","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",-2,0,2,2,-2,2,1,2,-2,2,2,-2,2
"5","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",-2,-1,-2,2,-2,2,2,0,1,2,2,-1,0
"6","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",1,-2,-2,2,-2,0,-2,2,-1,-1,2,-2,0
"7","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",-2,-2,-1,2,-2,-2,-1,2,-2,1,-2,2,1
"8","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",2,2,-2,2,-2,0,-2,0,-1,2,2,-2,2
"9","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",2,-2,-2,2,-2,1,-2,-2,-2,2,-1,-2,2
"10","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",-1,-2,-2,2,-2,2,1,2,-1,-1,-1,-2,2
"11","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",-2,1,1,2,-2,2,-1,1,-2,1,2,-2,2
"12","S1","Fear","male",37,"agree_strong","college_bachDegree","republican","yes",3,"agree_strong",-2,-2,-2,2,-2,2,-2,2,-2,-2,2,-2,-2
"13","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",0,2,0,-2,-2,2,2,2,2,0,-2,2,2
"14","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",-2,0,-2,-2,-2,0,2,0,2,0,2,-1,2
"15","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",1,0,-2,-2,-2,-2,-2,2,0,2,0,-2,0
"16","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",1,2,2,-2,-1,2,2,0,2,2,0,-1,2
"17","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",-2,0,1,-2,-2,2,-2,2,2,2,2,-2,2
"18","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",-2,2,-2,-2,-2,2,-2,2,2,2,0,0,0
"19","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",2,2,-2,-2,0,0,-2,0,0,0,0,0,0
"20","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",-2,2,-2,0,0,2,2,0,0,0,0,-2,0
"21","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",-2,0,-2,0,-2,0,-2,0,0,0,0,-2,0
"22","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",-2,2,-2,-2,-2,2,-2,2,2,2,2,-2,0
"23","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",-2,0,-1,-2,-2,0,1,0,0,0,2,-2,2
"24","S2","Hunger","male",55,"disagree_moderate","college_some","republican","no_commited",0,"disagree_moderate",-2,0,2,-2,-2,0,-2,2,2,2,2,-2,2
"25","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",0,-2,-2,-2,-2,2,-2,0,2,2,2,-2,0
"26","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",0,-2,-2,0,0,2,-2,2,-2,2,2,0,2
"27","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",-2,0,-1,-2,-2,2,0,2,-2,-2,2,0,2
"28","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",0,0,0,-2,-2,0,-2,2,0,0,2,-2,2
"29","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",0,2,0,0,0,2,0,2,0,-2,2,0,2
"30","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",-2,2,-2,0,0,2,-2,2,0,-2,2,1,0
"31","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",0,-2,0,0,-2,2,0,2,-2,0,2,-2,1
"32","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",-2,0,-2,-2,0,2,-1,2,-1,0,-2,1,2
"33","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",-2,2,0,-1,-2,0,0,0,0,0,-2,-2,2
"34","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",0,-1,-2,0,0,2,-2,2,-2,0,2,1,2
"35","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",0,2,-1,-2,0,2,-2,2,0,-2,2,1,2
"36","S3","Self-Control","female",28,"disagree_strong","grad_degree","democrat","no",0,"disagree_strong",0,2,-2,-2,0,2,0,-2,1,0,2,-2,2
"37","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",0,0,-1,-2,-2,2,0,0,0,0,2,-2,2
"38","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",0,0,-2,-2,-2,0,1,0,-1,1,2,-2,1
"39","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",0,0,-2,-2,-1,1,-1,2,1,2,-1,0,2
"40","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",-1,0,2,-2,-2,1,0,1,0,-1,2,-2,0
"41","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",-2,2,0,-2,-2,1,0,2,0,2,0,-2,2
"42","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",2,0,-1,2,-2,2,0,2,0,-2,0,-2,0
"43","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",-1,2,-1,-2,-2,2,0,0,0,0,2,-2,2
"44","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",-2,2,-1,-2,0,2,0,0,1,1,0,-2,2
"45","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",-1,1,0,0,-1,0,-2,0,2,1,-1,-2,2
"46","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",0,0,1,-2,-2,1,2,0,0,-1,1,0,1
"47","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",2,-1,2,-2,-2,1,-1,1,2,2,1,0,0
"48","S4","Fear","male",59,"agree_moderate","college_assocDegree","independent","yes",3,"agree_strong",-1,-1,-1,-2,-2,0,0,1,2,-1,2,0,1
"49","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",-2,-2,-1,2,-2,2,-2,2,2,1,2,-1,1
"50","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",0,2,-2,2,-2,0,-2,2,-2,-1,-2,-2,2
"51","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",-2,2,0,2,-1,2,1,2,2,-2,2,-2,0
"52","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",-2,-2,1,2,-2,2,-2,0,-2,2,2,0,-2
"53","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",-1,-2,-2,2,-2,2,-2,2,0,0,2,0,2
"54","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",-2,0,-2,2,-2,2,1,2,2,-1,-2,-2,2
"55","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",-2,2,-1,2,0,2,1,0,1,-2,-2,-2,-2
"56","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",0,2,-2,2,-2,2,2,2,2,-2,2,-2,2
"57","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",-1,-2,-2,2,-2,-2,1,2,-2,1,-1,-2,2
"58","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",0,-2,-1,2,-2,2,-2,-2,2,-2,1,0,2
"59","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",-2,2,0,2,-2,2,-2,2,2,-2,-2,0,2
"60","S5","Self-Control","female",41,"agree_strong","college_bachDegree","independent","yes",5,"agree_little",-2,2,-2,2,0,2,-2,2,-2,-2,2,-2,2
"61","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",-1,-2,-1,2,-2,2,-2,2,1,-2,-1,1,2
"62","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",-2,1,-1,2,-2,-2,-2,2,-1,-2,2,1,2
"63","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",0,1,-2,2,-1,-2,-2,2,2,-1,2,1,2
"64","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",-2,-2,0,2,-2,2,-1,2,1,-2,2,-2,2
"65","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",0,-2,-2,2,0,2,-2,2,-2,-2,2,-2,2
"66","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",0,0,-2,2,-2,2,0,1,0,1,-2,2,2
"67","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",-2,0,0,2,0,2,-2,2,-2,1,-2,-1,2
"68","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",-1,-2,-1,2,-2,1,0,0,0,0,-1,-1,-2
"69","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",-2,0,0,2,-1,0,1,1,-2,0,1,1,2
"70","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",-1,-2,-2,2,-1,2,0,2,0,1,1,1,2
"71","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",-1,0,-1,2,-1,2,-1,-2,-2,-2,-2,1,2
"72","S6","Morality","male",32,"agree_moderate","college_assocDegree","republican","yes",2,"disagree_little",0,-2,-1,2,-1,2,0,-2,-2,1,1,1,2
"73","S7","Hunger","female",31,"agree_moderate","grad_degree","independent","no_commited",0,"agree_moderate",0,2,-2,0,0,2,0,0,0,0,0,-2,2
"74","S7","Hunger","female",31,"agree_moderate","grad_degree","independent","no_commited",0,"agree_moderate",-2,2,-1,-2,0,0,1,2,2,0,2,-2,0
"75","S7","Hunger","female",31,"agree_moderate","grad_degree","independent","no_commited",0,"agree_moderate",-2,0,-1,0,-2,1,0,0,0,0,2,-2,1
"76","S7","Hunger","female",31,"agree_moderate","grad_degree","independent","no_commited",0,"agree_moderate",0,0,-2,-2,0,0,-1,0,0,0,2,0,0
"77","S7","Hunger","female",31,"agree_moderate","grad_degree","independent","no_commited",0,"agree_moderate",-2,1,-1,0,-2,0,0,0,0,0,0,-2,2
"78","S7","Hunger","female",31,"agree_moderate","grad_degree","independent","no_commited",0,"agree_moderate",0,0,-2,-2,-1,0,0,2,2,2,0,0,0
"79","S7","Hunger","female",31,"agree_moderate","grad_degree","independent","no_commited",0,"agree_moderate",-2,0,1,-2,-2,0,0,2,2,2,0,-2,2
"80","S7","Hunger","female",31,"agree_moderate","grad_degree","independent","no_commited",0,"agree_moderate",0,0,-2,0,-2,0,2,2,2,0,0,0,0
